"","Player","POS","FL","FPTS","REC.RECEIVING","YDS.RECEIVING","TDS.RECEIVING","ATT.RUSHING","YDS.RUSHING","TDS.RUSHING","ATT.PASSING","CMP.PASSING","YDS.PASSING","TDS.PASSING","INTS.PASSING","Rank.ADP","Yahoo.ADP","ESPN.ADP","CBS.ADP","FFC.ADP","NFL.ADP","AVG.ADP"
"Lonnie Pryor (TB) RB","Lonnie Pryor (TB)","RB",0,2.3,3,15.8,0,2.3,6.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lorenzo Taliaferro (BAL) RB","Lorenzo Taliaferro (BAL)","RB",0,34.2,6,36.6,0,51.9,245.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Louis Murphy (TB) WR","Louis Murphy (TB)","WR",0,32.4,18.5,264,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luke McCown (NO) QB","Luke McCown (NO)","QB",0,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"Luke Stocker (TB) TE","Luke Stocker (TB)","TE",0,4.4,3.5,43.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luke Willson (SEA) TE","Luke Willson (SEA)","TE",0,35.1,18.1,236.5,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malcom Floyd (SD) WR","Malcom Floyd (SD)","WR",0.5,81.4,40.5,584,4,0,0,0,NA,NA,NA,NA,NA,247,NA,NA,227,NA,NA,227
"Marc Mariani (TEN) WR","Marc Mariani (TEN)","WR",0,2.8,2.3,27.8,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marcedes Lewis (JAC) TE","Marcedes Lewis (JAC)","TE",0,71,41.1,469.6,4,NA,NA,NA,NA,NA,NA,NA,NA,249,NA,NA,232,NA,NA,232
"Marcel Reece (OAK) RB","Marcel Reece (OAK)","RB",0,61.9,31.5,284.3,0.7,43.3,196.7,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marcus Harris (NYG) WR","Marcus Harris (NYG)","WR",0,20.6,8.3,115.5,1.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marcus Lattimore (SF) RB","Marcus Lattimore (SF)","RB",0,32.4,3,20,0,44.5,201.8,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mario Manningham (NYG) WR","Mario Manningham (NYG)","WR",0,29.9,17.5,239,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marion Grice (SD) RB","Marion Grice (SD)","RB",0,15.5,4.5,33,0,16.5,76.5,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mark Ingram (NO) RB","Mark Ingram (NO)","RB",1,87.3,12.4,81.5,0,130.1,547,4.4,NA,NA,NA,NA,NA,133,132,134,138,123,142,133.8
"Mark Sanchez (PHI) QB","Mark Sanchez (PHI)","QB",0,11.8,NA,NA,NA,3.5,4.6,0,27.6,16.8,183.8,1.3,0.6,NA,NA,NA,NA,NA,NA,NA
"Markus Wheaton (PIT) WR","Markus Wheaton (PIT)","WR",0.5,93.6,49.4,685.5,4.2,1,8.5,0,NA,NA,NA,NA,NA,169,182,167,169,142,NA,165
"Marlon Brown (BAL) WR","Marlon Brown (BAL)","WR",0,47.9,29,359.3,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marqise Lee (JAC) WR","Marqise Lee (JAC)","WR",1,88.6,45.3,639.2,4.3,1,8.5,0,NA,NA,NA,NA,NA,199,NA,185,192,160,NA,179
"MarQueis Gray (CLE) TE","MarQueis Gray (CLE)","TE",0,2.8,3.5,27.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marques Colston (NO) WR","Marques Colston (NO)","WR",0.5,134.3,76.1,980.7,6.2,0,0,0,NA,NA,NA,NA,NA,76,77,75,77,72,97,79.6
"Marquess Wilson (CHI) WR","Marquess Wilson (CHI)","WR",0,48.8,25.3,360.5,2.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marquise Goodwin (BUF) WR","Marquise Goodwin (BUF)","WR",0.5,36.1,17.5,268.5,1.7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marshawn Lynch (SEA) RB","Marshawn Lynch (SEA)","RB",2,203.2,26.8,208.5,1,276.4,1215.6,9.8,NA,NA,NA,NA,NA,9,9,6,15,10,5,9
"Martavis Bryant (PIT) WR","Martavis Bryant (PIT)","WR",0,50.9,23.9,365.1,2.4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Martellus Bennett (CHI) TE","Martellus Bennett (CHI)","TE",0.5,101.3,62.5,722.9,5,NA,NA,NA,NA,NA,NA,NA,NA,120,128,110,121,130,112,120.2
"Marvin Jones (CIN) WR","Marvin Jones (CIN)","WR",1,85.4,41,563.7,4.4,5.5,46,0,NA,NA,NA,NA,NA,163,121,NA,179,166,173,159.8
"Marvin McNutt (CAR) WR","Marvin McNutt (CAR)","WR",0,6.2,3.8,61.5,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mason Crosby (GB) K","Mason Crosby (GB)","K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131,99,133,155,176,100,132.6
"Matt Asiata (MIN) RB","Matt Asiata (MIN)","RB",0,35.6,4.9,31.4,0,52.1,204.6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Matt Barkley (PHI) QB","Matt Barkley (PHI)","QB",0,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"Matt Bryant (ATL) K","Matt Bryant (ATL)","K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,195,164,184,152,173.8
"Matt Cassel (MIN) QB","Matt Cassel (MIN)","QB",1,78.5,NA,NA,NA,16.6,60.9,0.2,193.8,117.7,1319.6,8.2,6.2,NA,NA,NA,NA,NA,NA,NA
"Matt Flynn (GB) QB","Matt Flynn (GB)","QB",0,13.6,NA,NA,NA,3.1,18.8,0,29.8,18.3,217.1,1.3,1,NA,NA,NA,NA,NA,NA,NA
"Matt Forte (CHI) RB","Matt Forte (CHI)","RB",2,241.7,66.7,543.4,2.9,274.4,1271.8,7.8,NA,NA,NA,NA,NA,4,4,5,5,4,4,4.4
"Matt Hasselbeck (IND) QB","Matt Hasselbeck (IND)","QB",0,2.1,NA,NA,NA,1,0,0,8,4.5,51.5,0,0,NA,NA,NA,NA,NA,NA,NA
"Matt McGloin (OAK) QB","Matt McGloin (OAK)","QB",0,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"Matt Moore (MIA) QB","Matt Moore (MIA)","QB",1.5,7.1,NA,NA,NA,2,3.1,0,34.6,20.1,220.6,0.8,1,NA,NA,NA,NA,NA,NA,NA
"Matt Prater (DEN) K","Matt Prater (DEN)","K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,76,123,126,148,71,108.8
"Matt Ryan (ATL) QB","Matt Ryan (ATL)","QB",2,289.9,NA,NA,NA,26,71.1,0.8,635.8,421.2,4700.3,30.1,13.2,63,52,80,49,68,76,65
"Matt Schaub (OAK) QB","Matt Schaub (OAK)","QB",2.5,162,NA,NA,NA,35.8,32.1,0,464.3,275,3073.8,17.3,14.2,NA,NA,NA,NA,NA,NA,NA
"Matt Spaeth (PIT) TE","Matt Spaeth (PIT)","TE",0,13.3,6.5,73,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Matthew Mulligan (CHI) TE","Matthew Mulligan (CHI)","TE",0,4.1,3.8,40.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Matthew Stafford (DET) QB","Matthew Stafford (DET)","QB",2.5,305.8,NA,NA,NA,31.5,81.9,1.2,641.4,393.2,4810,34.1,16.7,37,47,31,20,45,46,37.8
"Maurice Jones-Drew (OAK) RB","Maurice Jones-Drew (OAK)","RB",1,135.8,34.2,252.2,0.7,199.7,790.1,4.9,NA,NA,NA,NA,NA,87,112,83,83,75,93,89.2
