"Team","Year","Lg","Rec","WinPct","PDpG","OffPass","OffRun","DefPass","DefRun","TotOff","TotDef","ST","Total","Link"
"DAL","1975","NFL","10-4-0",0.714,5.9,13.5,2.8,-22.8,-5.7,7.3,-13.7,1.2,22.2,"http://www.pro-football-reference.com/teams/dal/1975.htm"
"DAL","1976","NFL","11-3-0",0.786,7.3,32.3,-1.6,-6.9,0.9,13.3,-2.8,4.6,20.7,"http://www.pro-football-reference.com/teams/dal/1976.htm"
"DAL","1977","NFL","12-2-0",0.857,9.5,38.5,14.9,-20.9,0.8,24.8,-9.6,0.7,35.1,"http://www.pro-football-reference.com/teams/dal/1977.htm"
"DAL","1978","NFL","12-4-0",0.75,11,32.4,10.4,-17.2,-7.2,20,-12.3,-2.5,29.7,"http://www.pro-football-reference.com/teams/dal/1978.htm"
"DAL","1979","NFL","11-5-0",0.688,3.6,34.4,-3.1,4.3,1.9,15.1,3.1,-2.5,9.5,"http://www.pro-football-reference.com/teams/dal/1979.htm"
"DAL","1980","NFL","12-4-0",0.75,8.9,13.9,6.5,-5.5,4.8,9.8,-0.7,4.2,14.6,"http://www.pro-football-reference.com/teams/dal/1980.htm"
"DAL","1981","NFL","12-4-0",0.75,5.6,18.8,-2.2,-16.1,0.2,6.8,-8.7,0.9,16.4,"http://www.pro-football-reference.com/teams/dal/1981.htm"
"DAL","1982","NFL","6-3-0",0.667,9,5.3,6.9,-7.9,-2,6.1,-5.2,0.7,12,"http://www.pro-football-reference.com/teams/dal/1982.htm"
"DAL","1983","NFL","12-4-0",0.75,7.4,18.6,3.2,-1.6,-4.9,11.4,-2.9,-3.5,10.9,"http://www.pro-football-reference.com/teams/dal/1983.htm"
"DAL","1984","NFL","9-7-0",0.563,0,-4.7,-10.8,-30,-5.1,-7.3,-18.4,4.2,15.4,"http://www.pro-football-reference.com/teams/dal/1984.htm"
"DAL","1985","NFL","10-6-0",0.625,1.5,13.5,-8.5,-3.6,-3.2,4.2,-3.4,-1.6,6.1,"http://www.pro-football-reference.com/teams/dal/1985.htm"
"DAL","1986","NFL","7-9-0",0.438,0.6,1.1,9.3,-2.3,6.9,4.6,2.2,-0.1,2.3,"http://www.pro-football-reference.com/teams/dal/1986.htm"
"DAL","1987","NFL","7-8-0",0.467,-0.5,-2,-0.7,4.4,-4,-1.4,0.6,4,2,"http://www.pro-football-reference.com/teams/dal/1987.htm"
"DAL","1988","NFL","3-13-0",0.188,-7.3,-2.2,6.9,11.2,-1.1,1.8,5.8,-0.9,-4.8,"http://www.pro-football-reference.com/teams/dal/1988.htm"
"DAL","1989","NFL","1-15-0",0.063,-11.8,-23.8,-2.3,27.6,0.2,-15.3,13.5,-2.6,-31.4,"http://www.pro-football-reference.com/teams/dal/1989.htm"
"DAL","1990","NFL","7-9-0",0.438,-4,-29.7,-1.4,-1.5,0.6,-17.4,-0.5,-1.7,-18.6,"http://www.pro-football-reference.com/teams/dal/1990.htm"
"DAL","1991","NFL","11-5-0",0.688,2,29.8,4.3,18.5,9.5,18.5,14.7,3.3,7,"http://www.pro-football-reference.com/teams/dal/1991.htm"
"DAL","1992","NFL","13-3-0",0.813,10.4,31.9,10.3,-2.1,-8.3,21.3,-4.5,1.4,27.2,"http://www.pro-football-reference.com/teams/dal/1992.htm"
"DAL","1993","NFL","12-4-0",0.75,9.2,34.5,11.1,-1.2,-1,22.9,-1.1,5.1,29.1,"http://www.pro-football-reference.com/teams/dal/1993.htm"
"DAL","1994","NFL","12-4-0",0.75,10.4,28.9,11.5,-18.7,-3.1,19.5,-11.9,3.4,34.9,"http://www.pro-football-reference.com/teams/dal/1994.htm"
"DAL","1995","NFL","12-4-0",0.75,9,40.5,22.8,-1.8,8.2,31.8,2.6,5,34.1,"http://www.pro-football-reference.com/teams/dal/1995.htm"
"DAL","1996","NFL","10-6-0",0.625,2.3,14.1,-3.9,-17.4,-4.7,5.4,-11.6,5.3,22.3,"http://www.pro-football-reference.com/teams/dal/1996.htm"
"DAL","1997","NFL","6-10-0",0.375,-0.6,5.9,-9,-0.7,-2.9,-0.3,-1.8,7.7,9.2,"http://www.pro-football-reference.com/teams/dal/1997.htm"
"DAL","1998","NFL","10-6-0",0.625,6.6,34.4,8.2,12.3,0.7,21.2,7.6,7.3,21,"http://www.pro-football-reference.com/teams/dal/1998.htm"
"DAL","1999","NFL","8-8-0",0.5,4.8,4.4,10.7,-3.4,-6.7,7.4,-4.8,-1.4,10.8,"http://www.pro-football-reference.com/teams/dal/1999.htm"
"DAL","2000","NFL","5-11-0",0.313,-4.2,-26.2,5.9,-1.5,15.4,-10.4,7.4,1.2,-16.6,"http://www.pro-football-reference.com/teams/dal/2000.htm"
"DAL","2001","NFL","5-11-0",0.313,-5.8,-33.3,3.4,9.8,-7.5,-13.8,1.5,-3.8,-19.2,"http://www.pro-football-reference.com/teams/dal/2001.htm"
