"year","rd","result","team1","team2","score1","score2","pk1","pk2","et"
2002,"B","Spain  -  Slovenia  3-1    (June 2, Gwangju World Cup Stadium) ","Spain","Slovenia",3,1,FALSE,FALSE,FALSE
2002,"B","Spain  -  Paraguay  3-1    (June 7, Jeonju World Cup Stadium) ","Spain","Paraguay",3,1,FALSE,FALSE,FALSE
2002,"B","South Africa  -  Slovenia  1-0    (June 8, Daegu World Cup Stadium) ","South Africa","Slovenia",1,0,FALSE,FALSE,FALSE
2002,"B","South Africa  -  Spain  2-3    (June 12, Daejeon World Cup Stadium) ","South Africa","Spain",2,3,FALSE,FALSE,FALSE
2002,"B","Slovenia  -  Paraguay  1-3    (June 12, Jeju World Cup Stadium) ","Slovenia","Paraguay",1,3,FALSE,FALSE,FALSE
2002,"C","Brazil  -  Turkey  2-1    (June 3, Munsu Football Stadium) ","Brazil","Turkey",2,1,FALSE,FALSE,FALSE
2002,"C","China  -  Costa Rica  0-2    (June 4, Gwangju World Cup Stadium) ","China","Costa Rica",0,2,FALSE,FALSE,FALSE
2002,"C","Brazil  -  China  4-0    (June 8, Jeju World Cup Stadium) ","Brazil","China",4,0,FALSE,FALSE,FALSE
2002,"C","Costa Rica  -  Turkey  1-1    (June 9, Incheon Munhak Stadium) ","Costa Rica","Turkey",1,1,FALSE,FALSE,FALSE
2002,"C","Costa Rica  -  Brazil  2-5    (June 13, Suwon World Cup Stadium) ","Costa Rica","Brazil",2,5,FALSE,FALSE,FALSE
2002,"C","Turkey  -  China  3-0    (June 13, Seoul World Cup Stadium) ","Turkey","China",3,0,FALSE,FALSE,FALSE
2002,"D","Korea Republic  -  Poland  2-0    (June 4, Busan Asiad Main Stadium) ","Korea Republic","Poland",2,0,FALSE,FALSE,FALSE
2002,"D","United States  -  Portugal  3-2    (June 5, Suwon World Cup Stadium) ","United States","Portugal",3,2,FALSE,FALSE,FALSE
2002,"D","Korea Republic  -  United States  1-1    (June 10, Daegu World Cup Stadium) ","Korea Republic","United States",1,1,FALSE,FALSE,FALSE
2002,"D","Portugal  -  Poland  4-0    (June 10, Jeonju World Cup Stadium) ","Portugal","Poland",4,0,FALSE,FALSE,FALSE
2002,"D","Portugal  -  Korea Republic  0-1    (June 14, Incheon Munhak Stadium) ","Portugal","Korea Republic",0,1,FALSE,FALSE,FALSE
2002,"D","Poland  -  United States  3-1    (June 14, Daejeon World Cup Stadium) ","Poland","United States",3,1,FALSE,FALSE,FALSE
2002,"E","Ireland  -  Cameroon  1-1    (June 1, Niigata Stadium Big Swan) ","Ireland","Cameroon",1,1,FALSE,FALSE,FALSE
2002,"E","Germany  -  Saudi Arabia  8-0    (June 1, Sapporo Dome) ","Germany","Saudi Arabia",8,0,FALSE,FALSE,FALSE
2002,"E","Germany  -  Ireland  1-1    (June 5, Ibaraki Kashima Stadium) ","Germany","Ireland",1,1,FALSE,FALSE,FALSE
2002,"E","Cameroon  -  Saudi Arabia  1-0    (June 6, Saitama Stadium 2002) ","Cameroon","Saudi Arabia",1,0,FALSE,FALSE,FALSE
2002,"E","Cameroon  -  Germany  0-2    (June 11, Shizuoka Stadium ECOPA) ","Cameroon","Germany",0,2,FALSE,FALSE,FALSE
2002,"E","Saudi Arabia  -  Ireland  0-3    (June 11, International Stadium Yokohama) ","Saudi Arabia","Ireland",0,3,FALSE,FALSE,FALSE
2002,"F","England  -  Sweden  1-1    (June 2, Saitama Stadium 2002) ","England","Sweden",1,1,FALSE,FALSE,FALSE
2002,"F","Argentina  -  Nigeria  1-0    (June 2, Ibaraki Kashima Stadium) ","Argentina","Nigeria",1,0,FALSE,FALSE,FALSE
2002,"F","Sweden  -  Nigeria  2-1    (June 7, Kobe Wing Stadium) ","Sweden","Nigeria",2,1,FALSE,FALSE,FALSE
2002,"F","Argentina  -  England  0-1    (June 7, Sapporo Dome) ","Argentina","England",0,1,FALSE,FALSE,FALSE
2002,"F","Sweden  -  Argentina  1-1    (June 12, Miyagi Stadium) ","Sweden","Argentina",1,1,FALSE,FALSE,FALSE
